ID,Trail,Endpoints,Miles,node_A,node_B,cost_A_to_B,cost_B_to_A,is_required,node_A_is_campsite,node_B_is_campsite,elev_A,elev_B,gain_A_to_B,gain_B_to_A,is_trail_closed,node_A_overnight_closed,node_B_overnight_closed
145.2,Hannah Mountain,Campsite 14 - Parson Branch Road,4.4,BC014,TH007,6126,5551,1,1,0,2032,2779,1228,481,0,0,0
146,Hatcher Mountain,Cooper Road - Little Bottoms,2.6,TI008,TI005,3307,3740,1,0,0,1939,1417,310,833,0,0,0
147.1,Hazel Creek,Lakeshore - Campsite 85,3,TI052,BC085,3741,3316,1,0,1,1728,2014,345,59,0,0,0
147.2,Hazel Creek,Campsite 85 - Jenkins Ridge,1.5,BC085,BC084,1872,1628,1,1,1,2014,2188,213,39,0,0,0
148,Hazel Creek,Jenkins Ridge - Bone Valley,0.8,BC084,BC083,1026,913,1,1,1,2188,2281,151,59,0,0,0
149,Hazel Creek,Bone Valley - Cold Spring Gap,1.3,BC083,TI065,1766,1526,1,1,0,2281,2500,308,88,0,0,0
150.1,Hazel Creek,Cold Spring Gap - Campsite 82,1.7,TI065,BC082,2564,2355,1,0,1,2500,2727,505,277,0,0,0
150.2,Hazel Creek,Campsite 82 - Welch Ridge,6.4,BC082,TI095,9583,7507,1,1,0,2727,4906,2433,254,0,0,0
151.1,Hazel Creek Access,Fontana Lake - Campsite 86,0.5,TI051,BC086,713,643,1,0,1,1671,1728,72,14,0,0,0
151.2,Hazel Creek Access,Campsite 86 - Lakeshore,0.2,BC086,TI052,221,222,1,1,0,1728,1728,11,11,0,0,0
152,Hemphill Bald,Heintooga Road - Cataloochee Divide,5.5,TH252,TI271,8048,8122,1,0,0,5129,5071,1430,1488,0,0,0
153,Hemphill Bald,Cataloochee Divide - Caldwell Fork,3,TI271,TI260,3995,5325,1,0,0,5071,3304,96,1862,0,0,0
154,High Rocks,Welch Ridge - High Rocks,0.3,TI081,TI080,623,448,1,0,0,4950,5183,238,4,0,0,0
155,Hughes Ridge,Chasteen Creek - Enloe Creek,0.4,TI216,TI214,638,507,1,0,0,4662,4836,188,14,0,0,0
156,Hughes Ridge,Enloe Creek - Bradley Fork,2.5,TI214,TI209,3618,3396,1,0,0,4836,5071,744,509,0,0,0
157.1,Hughes Ridge,Bradley Fork - Pecks Corner Shelter,1.8,TI209,SH104,2521,2357,1,0,1,5071,5324,520,267,0,0,0
157.2,Hughes Ridge,Pecks Corner Shelter - AT,0.4,SH104,TI205,674,510,1,1,0,5324,5546,233,12,0,0,0
158,Huskey Gap,Newfound Gap Road - Sugarland Mountain,2,TH115,TI100,3655,2665,1,0,0,1882,3147,1302,36,0,0,0
159.1,Huskey Gap,Sugarland Mountain - Campsite 21,1.7,TI100,BC021,2426,2885,1,0,1,3147,2574,168,742,0,0,0
159.2,Huskey Gap,Campsite 21 - Little River,0.4,BC021,TI104,423,384,1,1,0,2574,2610,89,53,0,0,0
160,Hyatt Ridge,Straight Fork Road - Enloe Creek,1.8,TH225,TI222,3720,2666,1,0,0,2938,4393,1468,13,0,0,0
161,Hyatt Ridge,Enloe Creek - Beech Gap II,1.7,TI222,TI224,2690,2243,1,0,0,4393,4948,723,169,0,0,0
162,Hyatt Ridge,Beech Gap II - CS #44,0.9,TI224,BC044,1272,1228,1,0,1,4948,5025,249,171,0,0,0
163,Indian Creek Motor,Thomas Divide - Deeplow Gap,1.8,TI178,TI179,2149,2893,1,0,0,3459,2611,18,866,0,0,0
164,Indian Creek,Deep Creek - Stonepile Gap,0.5,TI163,TI169,664,537,1,0,0,1887,1993,122,16,0,0,0
165,Indian Creek,Stonepile Gap - Loop,0.3,TI169,TI171,356,314,1,0,0,1993,2021,33,4,0,0,0
166,Indian Creek,Loop - Deeplow Gap,2.2,TI171,TI175,2867,2361,1,0,0,2021,2421,446,46,0,0,0
167,Indian Creek,Deeplow Gap - Martins Gap,0.7,TI175,BC046,1022,794,1,0,1,2421,2621,215,15,0,0,0
168,Indian Grave Gap,Rich Mountain Road - Rich Mountain Loop,1.1,TH023,TI028,2029,1505,1,0,0,2526,3204,704,27,0,0,0
169,Indian Grave Gap,Rich Mountain Loop - Rich Mountain,0.8,TI028,BC005,1193,922,1,0,1,3204,3506,324,22,0,0,0
170,Indian Grave Gap,Rich Mountain - Scott Mountain,1.8,BC005,TI034,2318,2496,1,1,0,3506,3321,293,479,0,0,0
171,Jakes Creek,Elkmont Road - Cucumber Gap,0.7,TH091,TI090,1063,762,1,0,0,2211,2514,305,2,0,0,0
